,Sources,Date,Sessions,Users,Transactions,Revenue,Order Quantity,Transactions Per User,Amount Spent
0,(direct) / (none),2022-02-01,12,13,0,0,0,0,0.0
1,af.uppromote.com / referral,2022-02-01,2,3,0,0,0,0,0.0
2,facebook,2022-02-01,8,8,0,0,0,0,0.0
3,google,2022-02-01,18,15,0,0,0,0,0.0
4,instagram,2022-02-01,13,13,0,0,0,0,0.0
5,(direct) / (none),2022-02-02,6,5,0,0,0,0,0.0
6,af.uppromote.com / referral,2022-02-02,0,0,0,0,0,0,0.0
7,facebook,2022-02-02,7,9,0,0,0,0,0.0
8,google,2022-02-02,12,14,0,0,0,0,0.0
9,instagram,2022-02-02,7,9,0,0,0,0,0.0
10,(direct) / (none),2022-02-03,16,22,0,0,0,0,0.0
11,af.uppromote.com / referral,2022-02-03,1,1,0,0,0,0,0.0
12,duckduckgo / organic,2022-02-03,0,0,0,0,0,0,0.0
13,facebook,2022-02-03,131,234,0,0,0,0,2451.12
14,google,2022-02-03,13,18,0,0,0,0,0.0
15,instagram,2022-02-03,32,48,0,0,0,0,1141.1299999999999
16,(direct) / (none),2022-02-04,23,44,1,2999,1,0,0.0
17,af.uppromote.com / referral,2022-02-04,1,2,0,0,0,0,0.0
18,duckduckgo / organic,2022-02-04,1,2,0,0,0,0,0.0
19,facebook,2022-02-04,72,135,1,3999,1,0,2635.7999999999997
20,google,2022-02-04,8,5,0,0,0,0,0.0
21,instagram,2022-02-04,18,27,0,0,0,0,929.45
22,(direct) / (none),2022-02-05,15,20,1,3999,1,0,0.0
23,af.uppromote.com / referral,2022-02-05,2,1,0,0,0,0,0.0
24,facebook,2022-02-05,85,153,0,0,0,0,2739.4699999999993
25,google,2022-02-05,7,6,0,0,0,0,0.0
26,in.search.yahoo.com / referral,2022-02-05,0,0,0,0,0,0,0.0
27,instagram,2022-02-05,20,35,0,0,0,0,790.8000000000001
28,(direct) / (none),2022-02-06,5,10,0,0,0,0,0.0
29,af.uppromote.com / referral,2022-02-06,0,0,0,0,0,0,0.0
30,facebook,2022-02-06,63,106,0,0,0,0,2956.3300000000004
31,google,2022-02-06,5,8,1,3999,1,0,0.0
32,in.search.yahoo.com / referral,2022-02-06,1,1,0,0,0,0,0.0
33,instagram,2022-02-06,14,21,0,0,0,0,779.73
34,(direct) / (none),2022-02-07,22,23,0,0,0,0,0.0
35,af.uppromote.com / referral,2022-02-07,0,0,0,0,0,0,0.0
36,facebook,2022-02-07,197,346,2,11998,2,0,4848.81
37,google,2022-02-07,14,17,0,0,0,0,0.0
38,instagram,2022-02-07,10,18,0,0,0,0,1250.8300000000002
39,referral / post,2022-02-07,0,0,0,0,0,0,0.0
40,(direct) / (none),2022-02-08,16,27,0,0,0,0,0.0
41,af.uppromote.com / referral,2022-02-08,2,1,0,0,0,0,0.0
42,facebook,2022-02-08,154,295,2,5998,2,0,5766.1922540000005
43,google,2022-02-08,16,16,0,0,0,0,0.0
44,instagram,2022-02-08,29,51,1,2999,1,0,2560.411579
45,referral / post,2022-02-08,1,1,0,0,0,0,0.0
46,(direct) / (none),2022-02-09,37,65,0,0,0,0,0.0
47,af.uppromote.com / referral,2022-02-09,2,2,0,0,0,0,0.0
48,facebook,2022-02-09,187,359,3,12996,4,0,6379.179977999999
49,google,2022-02-09,11,11,2,7998,2,0,0.0
50,instagram,2022-02-09,27,52,0,0,0,0,2242.629113
51,(direct) / (none),2022-02-10,26,49,1,3999,1,0,0.0
52,af.uppromote.com / referral,2022-02-10,0,0,0,0,0,0,0.0
53,facebook,2022-02-10,245,468,0,0,0,0,4619.74
54,google,2022-02-10,6,9,0,0,0,0,0.0
55,instagram,2022-02-10,22,39,0,0,0,0,1729.4499999999998
56,(direct) / (none),2022-02-11,14,23,0,0,0,0,0.0
57,af.uppromote.com / referral,2022-02-11,1,1,0,0,0,0,0.0
58,facebook,2022-02-11,275,519,3,9997,3,0,4840.97
59,google,2022-02-11,3,4,0,0,0,0,0.0
60,instagram,2022-02-11,21,40,0,0,0,0,1217.98
61,(direct) / (none),2022-02-12,34,61,0,0,0,0,0.0
62,af.uppromote.com / referral,2022-02-12,0,0,0,0,0,0,0.0
63,facebook,2022-02-12,285,534,0,0,0,0,5155.48
64,google,2022-02-12,8,11,0,0,0,0,0.0
65,instagram,2022-02-12,23,41,0,0,0,0,913.0600000000002
66,(direct) / (none),2022-02-13,15,27,0,0,0,0,0.0
67,facebook,2022-02-13,280,537,0,0,0,0,4464.85
68,google,2022-02-13,7,8,0,0,0,0,0.0
69,instagram,2022-02-13,24,45,0,0,0,0,920.9100000000001
70,loox.io / referral,2022-02-13,0,0,0,0,0,0,0.0
71,(direct) / (none),2022-02-14,29,48,0,0,0,0,0.0
72,facebook,2022-02-14,227,426,1,2999,1,0,3151.83
73,google,2022-02-14,13,18,0,0,0,0,0.0
74,instagram,2022-02-14,20,35,1,7999,1,0,810.62
75,loox.io / referral,2022-02-14,1,2,1,7998,2,1,0.0
76,(direct) / (none),2022-02-15,41,52,0,0,0,0,0.0
77,af.uppromote.com / referral,2022-02-15,4,1,0,0,0,0,0.0
78,bing / organic,2022-02-15,0,0,0,0,0,0,0.0
79,facebook,2022-02-15,351,681,2,6998,2,0,4516.18
80,google,2022-02-15,11,17,0,0,0,0,0.0
81,instagram,2022-02-15,34,58,1,3999,1,0,1481.5500000000002
82,(direct) / (none),2022-02-16,37,62,0,0,0,0,0.0
83,af.uppromote.com / referral,2022-02-16,1,1,0,0,0,0,0.0
84,bing / organic,2022-02-16,1,2,0,0,0,0,0.0
85,facebook,2022-02-16,335,639,3,9997,3,0,4616.664640000001
86,google,2022-02-16,20,18,1,39,1,0,0.0
87,instagram,2022-02-16,20,37,0,0,0,0,1319.086028
88,(direct) / (none),2022-02-17,87,158,1,2999,1,0,0.0
89,af.uppromote.com / referral,2022-02-17,3,2,0,0,0,0,0.0
90,couponseeker.com / referral,2022-02-17,1,2,0,0,0,0,0.0
91,facebook,2022-02-17,506,983,0,0,0,0,6790.481042000001
92,flow / sms,2022-02-17,0,0,0,0,0,0,0.0
93,google,2022-02-17,11,11,0,0,0,0,0.0
94,instagram,2022-02-17,44,83,1,5998,2,0,3095.9889580000004
95,(direct) / (none),2022-02-18,74,128,2,9997,3,0,0.0
96,af.uppromote.com / referral,2022-02-18,7,2,0,0,0,0,0.0
97,couponseeker.com / referral,2022-02-18,0,0,0,0,0,0,0.0
98,facebook,2022-02-18,457,886,2,5998,2,0,6837.88
99,flow / sms,2022-02-18,1,2,0,0,0,0,0.0
100,google,2022-02-18,24,13,0,0,0,0,0.0
